emissionScope1,emissionScope2,emissionScope3,totalEmission
182737.85822150926,1322921.8232100182,2447610.9203990735,3953270.6018306008
1903910.4040569437,471457.551970322,610412.4159530308,2985780.3719802964
2846325.571963193,1285658.7075834537,1262857.5838625897,5394841.863409236
2543160.178848824,1810343.6365412634,2301368.176749765,6654871.992139853
7572264.449205603,1434538.8506428052,1251967.575027369,10258770.874875778
266765.74051923794,971663.1257137186,1607531.619979642,2845960.4862125986
408602.8184551785,377812.04254912224,439007.21496569004,1225422.0759699908
133149.4778470199,3544.6384439038325,5051.622588303115,141745.73887922685
752683.3986260685,482033.7179339638,696547.1519931157,1931264.268553148
487180.44430458243,1351393.7053937,3297649.4728610646,5136223.622559347
361194.1377862902,429749.5458500781,355014.1732331356,1145957.8568695039
518668.3645336671,4418305.001715174,3747410.2548165126,8684383.621065354
1632059.7012796681,2812628.13920165,5303214.68684021,9747902.527321529
647946.7751284281,982894.0353704515,1531990.8025820423,3162831.613080922
1138832.0765554695,680171.5536082387,684523.5798844928,2503527.210048201
2512436.6042837645,14254.644771815972,23635.886701829266,2550327.1357574095
1653940.3872844302,1295669.0128175123,1896813.7393937078,4846423.13949565
2479407.8450790956,2614672.664749807,1438984.5199408745,6533065.029769777
3034292.8855953934,887776.144397545,737853.6503716265,4659922.680364565
2225557.9874607767,181816.50358075817,216917.72717537638,2624292.2182169114
1825114.1670229204,1115335.706846168,1421797.3994589979,4362247.273328086
